ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
CU1811.SHF,20171225,55940.0,55670.0,55920.0,56560.0,55920.0,56090.0,56270.0,420.0,600.0,132.0,3714.14,1154.0,34.0
CU1811.SHF,20171226,56090.0,56270.0,56060.0,56680.0,56050.0,56680.0,56200.0,410.0,-70.0,104.0,2922.65,1190.0,36.0
CU1811.SHF,20171227,56680.0,56200.0,56590.0,56650.0,56310.0,56340.0,56470.0,140.0,270.0,122.0,3444.9,1230.0,40.0
CU1811.SHF,20171228,56340.0,56470.0,56620.0,57230.0,56620.0,57230.0,57000.0,760.0,530.0,196.0,5586.2,1272.0,42.0
CU1811.SHF,20171229,57230.0,57000.0,57200.0,57230.0,56720.0,56820.0,57000.0,-180.0,0.0,176.0,5016.57,1342.0,70.0
CU1811.SHF,20180102,56820.0,57000.0,56870.0,56870.0,56390.0,56610.0,56490.0,-390.0,-510.0,64.0,1807.72,1344.0,2.0
CU1811.SHF,20180103,56610.0,56490.0,56540.0,56580.0,56110.0,56200.0,56210.0,-290.0,-280.0,166.0,4666.23,1344.0,0.0
CU1811.SHF,20180104,56200.0,56210.0,56110.0,56660.0,56070.0,56650.0,56590.0,440.0,380.0,44.0,1245.12,1344.0,0.0
CU1811.SHF,20180105,56650.0,56590.0,56600.0,56600.0,56090.0,56200.0,56300.0,-390.0,-290.0,46.0,1295.05,1364.0,20.0
CU1811.SHF,20180108,56200.0,56300.0,56010.0,56070.0,55750.0,55910.0,55840.0,-390.0,-460.0,84.0,2345.53,1412.0,48.0
CU1811.SHF,20180109,55910.0,55840.0,55800.0,56130.0,55800.0,56130.0,55960.0,290.0,120.0,40.0,1119.32,1440.0,28.0
CU1811.SHF,20180110,56130.0,55960.0,56380.0,56380.0,55990.0,56010.0,56090.0,50.0,130.0,254.0,7124.29,1626.0,186.0
CU1811.SHF,20180111,56010.0,56090.0,55860.0,56600.0,55860.0,56410.0,56330.0,320.0,240.0,244.0,6873.26,1516.0,-110.0
CU1811.SHF,20180112,56410.0,56330.0,56000.0,56050.0,55550.0,56020.0,55880.0,-310.0,-450.0,242.0,6762.56,1598.0,82.0
CU1811.SHF,20180115,56020.0,55880.0,55760.0,56380.0,55690.0,56250.0,56040.0,370.0,160.0,96.0,2689.92,1622.0,24.0
CU1811.SHF,20180116,56250.0,56040.0,56220.0,56220.0,55400.0,55490.0,55640.0,-550.0,-400.0,142.0,3950.45,1608.0,-14.0
CU1811.SHF,20180117,55490.0,55640.0,55130.0,55230.0,54600.0,54600.0,54910.0,-1040.0,-730.0,202.0,5546.36,1702.0,94.0
CU1811.SHF,20180118,54600.0,54910.0,54890.0,55200.0,54730.0,54930.0,54960.0,20.0,50.0,284.0,7805.09,1596.0,-106.0
CU1811.SHF,20180119,54930.0,54960.0,55060.0,55110.0,54810.0,55090.0,54940.0,130.0,-20.0,44.0,1208.84,1574.0,-22.0
CU1811.SHF,20180122,55090.0,54940.0,54710.0,55100.0,54620.0,55100.0,54870.0,160.0,-70.0,88.0,2414.32,1522.0,-52.0
CU1811.SHF,20180123,55100.0,54870.0,55130.0,55210.0,54770.0,55020.0,55030.0,150.0,160.0,270.0,7430.1,1588.0,66.0
CU1811.SHF,20180124,55020.0,55030.0,54260.0,54350.0,53920.0,54010.0,54050.0,-1020.0,-980.0,244.0,6595.23,1492.0,-96.0
CU1811.SHF,20180125,54010.0,54050.0,54150.0,55720.0,54150.0,55180.0,55320.0,1130.0,1270.0,2646.0,73198.05,2794.0,1302.0
CU1811.SHF,20180126,55180.0,55320.0,55160.0,55200.0,54750.0,54810.0,55000.0,-510.0,-320.0,7734.0,212694.21,6848.0,4054.0
CU1811.SHF,20180129,54810.0,55000.0,54760.0,56950.0,54500.0,55010.0,55060.0,10.0,60.0,11902.0,327669.86,16222.0,9374.0
CU1811.SHF,20180130,55010.0,55060.0,54840.0,54910.0,54200.0,54300.0,54550.0,-760.0,-510.0,1102.0,30059.6,16246.0,24.0
CU1811.SHF,20180131,54300.0,54550.0,54490.0,54700.0,54290.0,54620.0,54500.0,70.0,-50.0,338.0,9211.09,16186.0,-60.0
CU1811.SHF,20180201,54620.0,54500.0,54690.0,54790.0,54380.0,54400.0,54550.0,-100.0,50.0,456.0,12439.63,16208.0,22.0
CU1811.SHF,20180202,54400.0,54550.0,54330.0,55030.0,54260.0,54940.0,54760.0,390.0,210.0,504.0,13800.8,16242.0,34.0
CU1811.SHF,20180205,54940.0,54760.0,54700.0,54700.0,54200.0,54440.0,54390.0,-320.0,-370.0,428.0,11641.18,16306.0,64.0
CU1811.SHF,20180206,54440.0,54390.0,54430.0,55160.0,54030.0,54150.0,54320.0,-240.0,-70.0,918.0,24936.74,16314.0,8.0
CU1811.SHF,20180207,54150.0,54320.0,54280.0,54590.0,53910.0,54080.0,54240.0,-240.0,-80.0,274.0,7431.93,16330.0,16.0
CU1811.SHF,20180208,54080.0,54240.0,53900.0,53980.0,53070.0,53380.0,53390.0,-860.0,-850.0,738.0,19701.44,16402.0,72.0
CU1811.SHF,20180209,53380.0,53390.0,53390.0,53400.0,52680.0,52830.0,53030.0,-560.0,-360.0,470.0,12463.32,16432.0,30.0
CU1811.SHF,20180212,52830.0,53030.0,52400.0,53120.0,52270.0,53050.0,52590.0,20.0,-440.0,902.0,23721.6,16400.0,-32.0
CU1811.SHF,20180213,53050.0,52590.0,52970.0,53700.0,52800.0,53510.0,53490.0,920.0,900.0,6924.0,185216.1,20918.0,4518.0
CU1811.SHF,20180214,53510.0,53490.0,53650.0,54160.0,53640.0,54150.0,53940.0,660.0,450.0,726.0,19581.27,20878.0,-40.0
CU1811.SHF,20180222,54150.0,53940.0,54440.0,54480.0,53940.0,54140.0,54080.0,200.0,140.0,310.0,8382.88,20856.0,-22.0
CU1811.SHF,20180223,54140.0,54080.0,54250.0,55360.0,54250.0,55000.0,55000.0,920.0,920.0,16624.0,457208.47,26090.0,5234.0
CU1811.SHF,20180226,55000.0,55000.0,54810.0,55180.0,54650.0,55040.0,54860.0,40.0,-140.0,1602.0,43945.35,25928.0,-162.0
CU1811.SHF,20180227,55040.0,54860.0,54980.0,55020.0,54580.0,54790.0,54700.0,-70.0,-160.0,548.0,14989.58,25802.0,-126.0
CU1811.SHF,20180228,54790.0,54700.0,54530.0,54530.0,53860.0,53880.0,54060.0,-820.0,-640.0,1072.0,28978.76,25402.0,-400.0
CU1811.SHF,20180301,53880.0,54060.0,53960.0,54010.0,53480.0,53620.0,53730.0,-440.0,-330.0,1352.0,36325.51,25264.0,-138.0
CU1811.SHF,20180302,53620.0,53730.0,53430.0,53820.0,53300.0,53770.0,53590.0,40.0,-140.0,142.0,3804.98,25268.0,4.0
CU1811.SHF,20180305,53770.0,53590.0,53580.0,53680.0,53200.0,53270.0,53450.0,-320.0,-140.0,518.0,13843.79,25182.0,-86.0
CU1811.SHF,20180306,53270.0,53450.0,53100.0,53850.0,53000.0,53780.0,53460.0,330.0,10.0,258.0,6897.4,25212.0,30.0
CU1811.SHF,20180307,53780.0,53460.0,53950.0,54000.0,53560.0,53580.0,53760.0,120.0,300.0,502.0,13495.57,25222.0,10.0
CU1811.SHF,20180308,53580.0,53760.0,53350.0,53570.0,53130.0,53270.0,53350.0,-490.0,-410.0,796.0,21235.53,25256.0,34.0
CU1811.SHF,20180309,53270.0,53350.0,53030.0,53080.0,52300.0,52370.0,52550.0,-980.0,-800.0,266.0,6989.42,25298.0,42.0
CU1811.SHF,20180312,52370.0,52550.0,52660.0,53810.0,52660.0,53160.0,53460.0,610.0,910.0,820.0,21918.86,25452.0,154.0
CU1811.SHF,20180313,53160.0,53460.0,53050.0,53420.0,53020.0,53050.0,53210.0,-410.0,-250.0,424.0,11282.19,25426.0,-26.0
CU1811.SHF,20180314,53050.0,53210.0,53340.0,53720.0,53140.0,53530.0,53410.0,320.0,200.0,1860.0,49672.9,25446.0,20.0
CU1811.SHF,20180315,53530.0,53410.0,53850.0,54200.0,53200.0,53380.0,53720.0,-30.0,310.0,574.0,15418.04,25406.0,-40.0
CU1811.SHF,20180316,53380.0,53720.0,53180.0,53610.0,53030.0,53490.0,53310.0,-230.0,-410.0,800.0,21324.72,25312.0,-94.0
CU1811.SHF,20180319,53490.0,53310.0,53400.0,53400.0,52460.0,52650.0,52670.0,-660.0,-640.0,1460.0,38452.07,25632.0,320.0
CU1811.SHF,20180320,52650.0,52670.0,52650.0,52860.0,52380.0,52670.0,52600.0,0.0,-70.0,928.0,24410.34,25426.0,-206.0
CU1811.SHF,20180321,52670.0,52600.0,52540.0,52550.0,51800.0,51800.0,52150.0,-800.0,-450.0,672.0,17523.99,25478.0,52.0
CU1811.SHF,20180322,51800.0,52150.0,51780.0,52590.0,51580.0,52290.0,52230.0,140.0,80.0,842.0,21991.66,25476.0,-2.0
CU1811.SHF,20180323,52290.0,52230.0,52030.0,52160.0,50850.0,51140.0,51240.0,-1090.0,-990.0,644.0,16502.03,25494.0,18.0
CU1811.SHF,20180326,51140.0,51240.0,51270.0,51280.0,49770.0,49940.0,50200.0,-1300.0,-1040.0,1926.0,48346.44,25650.0,156.0
CU1811.SHF,20180327,49940.0,50200.0,49860.0,50940.0,49860.0,50710.0,50480.0,510.0,280.0,1428.0,36043.87,25698.0,48.0
CU1811.SHF,20180328,50710.0,50480.0,50600.0,50740.0,50270.0,50300.0,50510.0,-180.0,30.0,714.0,18033.2,25730.0,32.0
CU1811.SHF,20180329,50300.0,50510.0,50590.0,51040.0,50240.0,50890.0,50660.0,380.0,150.0,2790.0,70678.26,25898.0,168.0
CU1811.SHF,20180330,50890.0,50660.0,50910.0,51260.0,50850.0,51260.0,51030.0,600.0,370.0,1152.0,29398.56,25938.0,40.0
